[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0025sec; 0; 0.0023sec; 0.000289; 12.8%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0023sec; 1; 0.0023sec; 0.000075; 3.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0025sec; 2; 0.0023sec; 0.000218; 9.7%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0024sec; 3; 0.0023sec; 0.000096; 4.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 4; 0.0023sec; 0.000221; 9.8%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 5; 0.0023sec; 0.000235; 10.4%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 6; 0.0023sec; 0.000196; 8.7%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 7; 0.0023sec; 0.000223; 9.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0026sec; 8; 0.0023sec; 0.000302; 13.4%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0024sec; 9; 0.0023sec; 0.000170; 7.5%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 10; 0.0023sec; 0.000251; 11.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 11; 0.0023sec; 0.000215; 9.5%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0027sec; 12; 0.0023sec; 0.000429; 19.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0024sec; 13; 0.0023sec; 0.000114; 5.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0036sec; 14; 0.0023sec; 0.001391; 61.7%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0022sec; 15; 0.0023sec; 0.000098; 4.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0023sec; 16; 0.0023sec; 0.000045; 2.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 17; 0.0023sec; 0.000158; 7.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 18; 0.0023sec; 0.000168; 7.4%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 19; 0.0023sec; 0.000192; 8.5%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 20; 0.0023sec; 0.000252; 11.2%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 21; 0.0023sec; 0.000214; 9.5%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 22; 0.0023sec; 0.000278; 12.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0019sec; 23; 0.0023sec; 0.000308; 13.7%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0023sec; 24; 0.0023sec; 0.000023; 1.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 25; 0.0023sec; 0.000217; 9.6%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 26; 0.0023sec; 0.000177; 7.8%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 27; 0.0023sec; 0.000193; 8.6%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0025sec; 28; 0.0023sec; 0.000204; 9.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 29; 0.0023sec; 0.000202; 9.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0024sec; 30; 0.0023sec; 0.000100; 4.4%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 31; 0.0023sec; 0.000253; 11.2%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 32; 0.0023sec; 0.000172; 7.6%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 33; 0.0023sec; 0.000232; 10.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0027sec; 34; 0.0023sec; 0.000461; 20.4%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0023sec; 35; 0.0023sec; 0.000008; 0.4%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 36; 0.0023sec; 0.000217; 9.6%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0031sec; 37; 0.0023sec; 0.000816; 36.2%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 38; 0.0023sec; 0.000237; 10.5%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 39; 0.0023sec; 0.000167; 7.4%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 40; 0.0023sec; 0.000107; 4.7%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0023sec; 41; 0.0023sec; 0.000056; 2.5%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 42; 0.0023sec; 0.000248; 11.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 43; 0.0023sec; 0.000274; 12.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0028sec; 44; 0.0023sec; 0.000515; 22.8%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0019sec; 45; 0.0023sec; 0.000321; 14.2%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0023sec; 46; 0.0023sec; 0.000042; 1.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0022sec; 47; 0.0023sec; 0.000088; 3.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 48; 0.0023sec; 0.000223; 9.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0022sec; 49; 0.0023sec; 0.000082; 3.6%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0022sec; 50; 0.0023sec; 0.000091; 4.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0023sec; 51; 0.0023sec; 0.000022; 1.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 52; 0.0023sec; 0.000150; 6.6%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 53; 0.0023sec; 0.000136; 6.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0024sec; 54; 0.0023sec; 0.000173; 7.7%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 55; 0.0023sec; 0.000217; 9.6%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 56; 0.0023sec; 0.000289; 12.8%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0023sec; 57; 0.0023sec; 0.000089; 3.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 58; 0.0023sec; 0.000231; 10.2%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 59; 0.0023sec; 0.000246; 10.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0033sec; 60; 0.0023sec; 0.001021; 45.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 61; 0.0023sec; 0.000202; 9.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 62; 0.0023sec; 0.000209; 9.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 63; 0.0023sec; 0.000211; 9.4%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 64; 0.0023sec; 0.000296; 13.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 65; 0.0023sec; 0.000246; 10.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0029sec; 66; 0.0023sec; 0.000648; 28.7%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0027sec; 67; 0.0023sec; 0.000396; 17.6%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0026sec; 68; 0.0023sec; 0.000363; 16.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0022sec; 69; 0.0023sec; 0.000018; 0.8%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 70; 0.0023sec; 0.000268; 11.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0019sec; 71; 0.0023sec; 0.000313; 13.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0027sec; 72; 0.0023sec; 0.000417; 18.5%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 73; 0.0023sec; 0.000274; 12.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 74; 0.0023sec; 0.000227; 10.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0027sec; 75; 0.0023sec; 0.000444; 19.7%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0022sec; 76; 0.0023sec; 0.000051; 2.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0025sec; 77; 0.0023sec; 0.000204; 9.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0031sec; 78; 0.0023sec; 0.000834; 37.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 79; 0.0023sec; 0.000225; 10.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 80; 0.0023sec; 0.000186; 8.2%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0022sec; 81; 0.0023sec; 0.000088; 3.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0022sec; 82; 0.0023sec; 0.000042; 1.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 83; 0.0023sec; 0.000139; 6.2%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 84; 0.0023sec; 0.000192; 8.5%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 85; 0.0023sec; 0.000180; 8.0%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 86; 0.0023sec; 0.000300; 13.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 87; 0.0023sec; 0.000227; 10.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0030sec; 88; 0.0023sec; 0.000718; 31.8%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 89; 0.0023sec; 0.000278; 12.3%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0020sec; 90; 0.0023sec; 0.000224; 9.9%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 91; 0.0023sec; 0.000183; 8.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0021sec; 92; 0.0023sec; 0.000161; 7.1%; 21104.284688]
[Intel Pentium 4417U; dgemm; int; O3; n*n; wtime; 0.0025sec; 93; 0.0023sec; 0.000286; 12.7%; 21104.284688]
